month,business_unit,revenue_budget,revenue_actual,revenue_prior_year,cogs_budget,cogs_actual,payroll_budget,payroll_actual,social_charges_budget,social_charges_actual,bonus_budget,bonus_actual,opex_travel_budget,opex_travel_actual,opex_marketing_budget,opex_marketing_actual,opex_it_budget,opex_it_actual,opex_facilities_budget,opex_facilities_actual,opex_ga_budget,opex_ga_actual,depreciation_budget,depreciation_actual
2024-04-01,Corporate Events,1935552.36,1878385.14,1806897.34,1432308.75,1398778.86,156149.65,159915.52,71828.84,73441.08,28106.94,28962.86,4180.0,3875.24,47025.0,43948.88,20100.0,16647.16,24391.12,24331.61,21105.0,21731.37,6045.0,6002.06
2024-05-01,Corporate Events,2110748.76,1998624.26,1941159.0,1561954.08,1463321.33,156534.75,153789.57,72005.99,71145.28,28176.26,28881.9,4300.0,4259.47,48375.0,39871.99,20133.33,17770.41,24421.5,25201.49,21140.0,20946.73,6060.0,6077.01
2024-06-01,Corporate Events,2032952.45,1902089.0,1852248.74,1504384.81,1376670.34,156920.81,162685.81,72183.57,74863.1,28245.75,27781.96,4240.0,5471.75,47700.0,42111.63,20166.67,19572.56,24451.88,24577.15,21175.0,19984.25,6075.0,6102.03
2024-07-01,Corporate Events,1444722.2,1569596.59,1421527.78,1069094.42,1138576.76,157307.82,156536.14,72361.6,73223.26,28315.41,26694.16,3820.0,4116.94,42975.0,44843.41,20200.0,19592.13,24482.25,24433.11,21210.0,21446.13,6090.0,6050.32
2024-08-01,Corporate Events,1023142.48,952806.76,934480.97,757125.43,701718.39,157695.78,156855.62,72540.06,71750.28,28385.24,27245.53,3520.0,3601.72,39600.0,37400.9,20233.33,20996.6,24512.62,24884.99,21245.0,20202.71,6105.0,6100.09
2024-09-01,Corporate Events,1625278.96,1637909.77,1528515.37,1202706.43,1220580.18,158084.7,158252.76,72718.96,73455.89,28455.25,29298.27,3940.0,3940.03,44325.0,41126.69,20266.67,20779.81,24543.0,24507.18,21280.0,20768.8,6120.0,6161.0
2024-10-01,Corporate Events,2059704.89,2275270.34,2093097.81,1524181.62,1736681.21,158474.58,159697.52,72898.31,73561.66,28525.42,31714.7,4240.0,3916.46,47700.0,42393.8,20300.0,22234.42,24573.38,24670.22,21315.0,20133.65,6135.0,6225.17
2024-11-01,Corporate Events,2238651.81,2292395.51,2200363.9,1656602.34,1637183.32,158865.42,161812.18,73078.09,74244.84,28595.78,26926.16,4360.0,4558.13,49050.0,43603.34,20333.33,19566.32,24603.75,24701.08,21350.0,20374.39,6150.0,6176.38
2024-12-01,Corporate Events,1900445.1,1905430.62,1836760.79,1406329.38,1401779.32,159257.23,158927.6,73258.33,73713.93,28666.3,29874.46,4120.0,4016.19,46350.0,47057.13,20366.67,22764.22,24634.12,23685.71,21385.0,21842.79,6165.0,6128.0
2025-01-01,Corporate Events,1213333.33,1198964.42,1220094.31,897866.67,890365.82,159650.0,160595.11,73439.0,73713.94,28737.0,24771.09,3640.0,3876.56,40950.0,33756.22,20400.0,20935.29,24664.5,25303.56,21420.0,20609.8,6180.0,6198.54
2025-02-01,Corporate Events,1391206.25,1284510.37,1427150.08,1029492.63,966959.7,160043.74,158992.17,73620.12,71712.12,28807.87,32582.04,3760.0,3736.94,42300.0,37846.24,20433.33,19886.61,24694.88,25176.44,21455.0,22486.1,6195.0,6157.54
2025-03-01,Corporate Events,1570230.79,1615975.95,1516668.54,1161970.78,1237252.93,160438.45,164216.49,73801.69,76040.4,28878.92,30437.77,3880.0,4050.37,43650.0,51262.27,20466.67,21185.44,24725.25,25032.33,21490.0,21319.78,6210.0,6226.5
2025-04-01,Corporate Events,2012974.46,1983124.97,1878385.14,1489601.1,1469465.61,160834.14,158590.74,73983.7,72715.17,28950.14,28417.2,4180.0,4593.65,47025.0,41484.03,20500.0,21783.05,24755.62,24684.83,21525.0,21951.28,6225.0,6238.37
2025-05-01,Corporate Events,2195178.71,2323733.54,1998624.26,1624432.24,1745386.15,161230.8,167102.0,74166.17,77090.83,29021.54,30642.48,4300.0,4614.23,48375.0,40770.26,20533.33,20423.35,24786.0,24350.26,21560.0,22368.94,6240.0,6263.81
2025-06-01,Corporate Events,2114270.55,2059481.36,1902089.0,1564560.2,1570078.94,161628.43,163689.31,74349.08,74388.76,29093.12,28095.27,4240.0,3943.65,47700.0,42864.57,20566.67,20620.6,24816.38,24363.52,21595.0,22845.82,6255.0,6303.51
2025-07-01,Corporate Events,1502511.08,1452091.3,1569596.59,1111858.2,1081252.94,162027.05,165770.89,74532.44,76672.11,29164.87,29333.66,3820.0,4052.55,42975.0,25839.98,20600.0,21101.6,24846.75,24873.6,21630.0,22335.26,6270.0,6291.24
2025-08-01,Corporate Events,1064068.17,1086088.55,952806.76,787410.45,829684.66,162426.66,155724.16,74716.26,70522.71,29236.8,28141.43,3520.0,3311.93,39600.0,32713.19,20633.33,18022.65,24877.12,25427.89,21665.0,20450.26,6285.0,6270.53
2025-09-01,Corporate Events,1690290.12,1721421.6,1637909.77,1250814.69,1295420.44,162827.24,160967.94,74900.53,74068.63,29308.9,31965.01,3940.0,4260.62,44325.0,38267.58,20666.67,21051.69,24907.5,24995.08,21700.0,19862.88,6300.0,6288.77
2025-10-01,Corporate Events,2142093.09,2171048.11,2275270.34,1585148.88,1578835.01,163228.82,162747.2,75085.26,75374.65,29381.19,30467.51,4240.0,4175.33,47700.0,38632.46,20700.0,22355.71,24937.88,24541.91,21735.0,22474.85,6315.0,6283.63
2025-11-01,Corporate Events,2328197.89,2313645.6,2292396.0,1722866.44,1762825.68,163631.39,161197.9,75270.44,74055.21,29453.65,28210.33,4360.0,4001.5,49050.0,39033.0,20733.33,22133.89,24968.25,24972.53,21770.0,22910.98,6330.0,6325.64
2025-12-01,Corporate Events,1976462.91,2107794.97,1905430.62,1462582.55,1586496.28,164034.95,166796.7,75456.07,76740.34,29526.29,30367.56,4120.0,4348.3,46350.0,44568.16,20766.67,20425.82,24998.62,24247.35,21805.0,20662.9,6345.0,6361.42
2026-01-01,Corporate Events,1261866.67,1363084.42,1198964.42,933781.33,999449.0,164439.5,164794.3,75642.17,74967.43,29599.11,29988.95,3640.0,4116.68,40950.0,34388.75,20800.0,18717.26,25029.0,24427.82,21840.0,21206.22,6360.0,6398.11
2026-02-01,Corporate Events,1446854.5,1389404.52,1284510.37,1070672.33,1037199.67,164845.05,166573.25,75828.72,76652.73,29672.11,33456.94,3760.0,3863.88,42300.0,36324.0,20833.33,16983.16,25059.38,25079.81,21875.0,19920.25,6375.0,6418.74
2026-03-01,Corporate Events,1633040.02,1594518.56,1615975.95,1208449.61,1190784.72,165251.6,167571.58,76015.74,77745.84,29745.29,30692.3,3880.0,3933.64,43650.0,46967.98,20866.67,21249.3,25089.75,25289.24,21910.0,23844.4,6390.0,6344.37
2026-04-01,Corporate Events,2093493.44,2019731.99,1983124.97,1549185.14,1489232.72,165659.16,166311.11,76203.21,76665.75,29818.65,32176.2,4180.0,4522.98,47025.0,45173.43,20900.0,21771.39,25120.12,25019.96,21945.0,22478.0,6405.0,6392.88
2026-05-01,Corporate Events,2282985.86,2269568.5,2323733.54,1689409.53,1707343.92,166067.72,159448.06,76391.15,73821.35,29892.19,27985.62,4300.0,3742.52,48375.0,41204.93,20933.33,17025.3,25150.5,24894.62,21980.0,21680.42,6420.0,6398.75
2026-06-01,Corporate Events,2198841.37,2281235.68,2059481.36,1627142.61,1678496.07,166477.29,167135.84,76579.55,77693.03,29965.91,30647.89,4240.0,4701.83,47700.0,54033.06,20966.67,20850.7,25180.88,25692.14,22015.0,24230.97,6435.0,6462.25
2024-01-01,Digital/Influence,1458333.33,1465050.9,1379394.47,991666.67,979549.71,251250.0,248263.14,115575.0,112506.97,45225.0,46839.23,4550.0,3876.36,10920.0,9950.16,32000.0,31083.48,36500.0,36939.96,31000.0,29649.88,9000.0,8987.57
2024-02-01,Digital/Influence,1672122.9,1815989.83,1789677.11,1137043.57,1200736.71,251869.65,253848.48,115860.04,116935.1,45336.54,42703.38,4700.0,4210.94,11280.0,11815.46,32053.33,31717.19,36545.62,35541.95,31051.67,30423.92,9022.5,8992.1
2024-03-01,Digital/Influence,1887296.62,1974895.21,1822476.49,1283361.7,1326679.28,252490.83,249794.73,116145.78,115067.49,45448.35,44764.72,4850.0,4331.17,11640.0,10878.41,32106.67,33205.72,36591.25,36487.38,31103.33,30973.72,9045.0,9122.17
2024-04-01,Digital/Influence,2419440.45,2459199.36,2335746.81,1645219.51,1684360.08,253113.54,259799.09,116432.23,120155.85,45560.44,47978.72,5225.0,5045.89,12540.0,10688.02,32160.0,34905.75,36636.88,36454.7,31155.0,32522.45,9067.5,9151.93
2024-05-01,Digital/Influence,2638435.95,2785474.99,2631346.56,1794136.44,1908646.26,253737.79,253072.29,116719.38,118041.0,45672.8,42669.38,5375.0,5562.47,12900.0,15416.81,32213.33,37565.85,36682.5,36720.68,31206.67,31865.91,9090.0,9125.17
2024-06-01,Digital/Influence,2541190.56,2561544.3,2459581.0,1728009.58,1779343.11,254363.57,250061.46,117007.24,116136.79,45785.44,44630.0,5300.0,5476.53,12720.0,12687.1,32266.67,33076.97,36728.12,36269.0,31258.33,31348.35,9112.5,9072.12
2024-07-01,Digital/Influence,1805902.74,1662372.53,1611807.52,1228013.87,1083546.76,254990.9,249292.44,117295.81,114251.89,45898.36,41732.25,4775.0,4555.98,11460.0,11124.0,32320.0,37328.9,36773.75,37383.82,31310.0,32905.57,9135.0,9111.27
2024-08-01,Digital/Influence,1278928.09,1217405.83,1135187.87,869671.1,833592.87,255619.78,253538.63,117585.1,115540.0,46011.56,46445.65,4400.0,4274.88,10560.0,10755.7,32373.33,33976.9,36819.38,36632.01,31361.67,31495.62,9157.5,9126.08
2024-09-01,Digital/Influence,2031598.71,2139664.68,2102073.4,1381487.12,1421742.22,256250.2,256282.69,117875.09,118334.06,46125.04,44397.68,4925.0,6204.35,11820.0,12083.68,32426.67,36144.62,36865.0,36915.61,31413.33,32054.13,9180.0,9178.76
2024-10-01,Digital/Influence,2574631.11,2649395.45,2552310.57,1750749.16,1799542.91,256882.19,256006.69,118165.81,118019.1,46238.79,45027.63,5300.0,4886.87,12720.0,13267.34,32480.0,30267.37,36910.62,37279.13,31465.0,30622.43,9202.5,9214.24
2024-11-01,Digital/Influence,2798314.77,2950163.5,2675689.4,1902854.04,2020817.24,257515.73,256041.46,118457.23,115928.56,46352.83,49916.61,5450.0,5697.41,13080.0,12676.26,32533.33,34968.25,36956.25,35941.02,31516.67,30942.19,9225.0,9320.79
2024-12-01,Digital/Influence,2375556.38,2335693.67,2113897.67,1615378.34,1525033.0,258150.83,250431.81,118749.38,115972.53,46467.15,44826.25,5150.0,5852.39,12360.0,13466.45,32586.67,30711.03,37001.88,36167.94,31568.33,30807.04,9247.5,9271.51
2025-01-01,Digital/Influence,1516666.67,1291856.56,1465050.9,1031333.33,868913.65,258787.5,271314.96,119042.25,125382.45,46581.75,50100.0,4550.0,4747.87,10920.0,10308.95,32640.0,33854.42,37047.5,36180.06,31620.0,32681.94,9270.0,9275.6
2025-02-01,Digital/Influence,1739007.82,1713155.43,1815989.83,1182525.31,1167263.41,259425.74,258979.01,119335.84,120494.43,46696.63,44470.52,4700.0,5071.68,11280.0,11668.76,32693.33,34441.32,37093.12,36710.12,31671.67,31413.94,9292.5,9321.28
2025-03-01,Digital/Influence,1962788.48,2050899.57,1974895.21,1334696.17,1440046.4,260065.55,255019.5,119630.15,116393.93,46811.8,46023.04,4850.0,4419.47,11640.0,13194.85,32746.67,32245.4,37138.75,37920.79,31723.33,33671.14,9315.0,9319.92
2025-04-01,Digital/Influence,2516218.07,2460542.25,2459199.36,1711028.29,1721859.47,260706.95,261392.53,119925.19,119676.01,46927.25,50238.93,5225.0,5359.92,12540.0,14502.16,32800.0,31850.71,37184.38,36659.45,31775.0,30331.17,9337.5,9322.02
2025-05-01,Digital/Influence,2743973.39,2682430.97,2785474.99,1865901.9,1840554.68,261349.92,253165.7,120220.96,117697.47,47042.99,43464.34,5375.0,5717.64,12900.0,12204.99,32853.33,35870.09,37230.0,35892.93,31826.67,32154.84,9360.0,9356.73
2025-06-01,Digital/Influence,2642838.18,2538899.88,2561544.3,1797129.96,1668219.79,261994.48,257665.13,120517.46,120383.69,47159.01,42422.92,5300.0,5431.26,12720.0,12492.02,32906.67,32239.64,37275.62,37186.62,31878.33,31187.9,9382.5,9367.26
2025-07-01,Digital/Influence,1878138.85,1897238.42,1662372.53,1277134.42,1264099.43,262640.63,266353.58,120814.69,122980.6,47275.31,49531.37,4775.0,5091.42,11460.0,11901.25,32960.0,34427.47,37321.25,37487.19,31930.0,32470.81,9405.0,9471.73
2025-08-01,Digital/Influence,1330085.22,1465426.26,1217405.83,904457.95,994754.09,263288.37,261671.34,121112.65,121177.66,47391.91,43480.95,4400.0,4068.45,10560.0,9469.93,33013.33,29726.6,37366.88,36868.7,31981.67,30133.03,9427.5,9402.16
2025-09-01,Digital/Influence,2112862.65,1915910.14,2139664.68,1436746.6,1441241.11,263937.71,264207.68,121411.35,120896.71,47508.79,46311.07,4925.0,4547.97,11820.0,12884.02,33066.67,35022.66,37412.5,37322.91,32033.33,33377.07,9450.0,9420.18
2025-10-01,Digital/Influence,2677616.36,2590203.41,2649395.45,1820779.12,1780657.66,264588.65,265583.37,121710.78,123523.32,47625.96,51099.82,5300.0,4532.49,12720.0,12633.53,33120.0,33814.29,37458.13,36952.61,32085.0,32125.01,9472.5,9447.81
2025-11-01,Digital/Influence,2910247.36,2937871.92,2950163.5,1978968.2,1939625.39,265241.2,272329.43,122010.95,126885.12,47743.42,46531.95,5450.0,6130.13,13080.0,12749.71,33173.33,34137.89,37503.75,36148.03,32136.67,32752.31,9495.0,9507.94
2025-12-01,Digital/Influence,2470578.64,2327736.24,2335693.67,1679993.47,1573560.42,265895.36,260193.85,122311.86,121242.14,47861.16,47843.31,5150.0,5517.91,12360.0,14828.66,33226.67,30099.07,37549.38,37078.0,32188.33,32215.57,9517.5,9567.71
2026-01-01,Digital/Influence,1577333.33,1595902.36,1291856.56,1072586.67,1120181.71,266551.12,260034.62,122613.52,119161.28,47979.2,48385.67,4550.0,4663.31,10920.0,12908.86,33280.0,28882.36,37595.0,36872.57,32240.0,32411.18,9540.0,9541.66
2026-02-01,Digital/Influence,1808568.13,1770262.06,1713155.43,1229826.33,1191244.74,267208.51,271551.19,122915.92,123061.79,48097.53,48866.98,4700.0,4813.58,11280.0,9277.84,33333.33,34707.76,37640.62,37314.54,32291.67,30986.0,9562.5,9587.84
2026-03-01,Digital/Influence,2041300.02,2171376.48,2050899.57,1388084.02,1458002.89,267867.52,264456.95,123219.06,124533.0,48216.15,46956.55,4850.0,5112.45,11640.0,12528.05,33386.67,34583.51,37686.25,36733.39,32343.33,33528.93,9585.0,9633.34
2026-04-01,Digital/Influence,2616866.79,2687265.02,2460542.25,1779469.42,1789539.56,268528.15,269791.72,123522.95,122674.54,48335.07,50625.79,5225.0,4481.1,12540.0,13099.69,33440.0,31282.19,37731.88,37005.93,32395.0,31986.57,9607.5,9586.37
2026-05-01,Digital/Influence,2853732.32,2955584.9,2682430.97,1940537.98,2019510.86,269190.42,265884.88,123827.59,123310.52,48454.28,46262.93,5375.0,6155.01,12900.0,12331.56,33493.33,33579.36,37777.5,37929.88,32446.67,31786.62,9630.0,9666.5
2026-06-01,Digital/Influence,2748551.71,2663392.52,2538899.88,1869015.16,1828172.48,269854.31,266975.22,124132.98,124392.63,48573.78,48247.37,5300.0,5081.83,12720.0,14453.28,33546.67,30754.01,37823.12,36454.24,32498.33,33365.74,9652.5,9584.04
2024-01-01,Government & Institutions,583333.33,630319.0,605851.96,408333.33,463719.75,95000.0,94229.99,43700.0,43301.79,17100.0,17416.22,1820.0,1599.05,3640.0,3526.98,15000.0,14656.53,16200.0,16153.85,11000.0,10629.06,4000.0,4012.89
2024-02-01,Government & Institutions,668849.16,631614.73,603295.9,468194.41,447255.14,95234.3,96233.32,43807.78,44392.22,17142.17,17619.12,1880.0,1599.05,3760.0,4022.9,15025.0,17492.33,16220.25,16262.09,11018.33,11540.61,4010.0,4035.37
2024-03-01,Government & Institutions,754918.65,742185.99,711426.24,528443.05,518054.7,95469.17,96643.93,43915.82,43915.91,17184.45,16711.99,1940.0,1604.25,3880.0,3943.78,15050.0,14579.88,16240.5,16690.64,11036.67,11274.33,4020.0,4013.95
2024-04-01,Government & Institutions,967776.18,959348.17,921675.79,677443.33,693944.91,95704.62,93591.96,44024.13,43909.1,17226.83,17964.35,2090.0,2212.74,4180.0,4313.51,15075.0,14026.93,16260.75,16304.02,11055.0,10692.1,4030.0,4014.77
2024-05-01,Government & Institutions,1055374.38,1119357.44,1083588.37,738762.07,778476.07,95940.66,92694.1,44132.7,42099.71,17269.32,17056.75,2150.0,2146.22,4300.0,3911.96,15100.0,14686.45,16281.0,16261.08,11073.33,10805.24,4040.0,4026.35
2024-06-01,Government & Institutions,1016476.22,929788.48,919444.12,711533.36,629820.85,96177.27,97104.55,44241.54,44102.89,17311.91,18411.89,2120.0,2009.18,4240.0,3152.55,15125.0,16074.66,16301.25,16367.85,11091.67,10760.27,4050.0,4031.66
2024-07-01,Government & Institutions,722361.1,696577.33,647459.82,505652.77,474762.29,96414.47,98026.15,44350.66,44241.38,17354.6,18073.21,1910.0,1976.73,3820.0,4730.15,15150.0,15659.27,16321.5,16296.08,11110.0,11212.41,4060.0,4074.84
2024-08-01,Government & Institutions,511571.24,507301.46,470639.59,358099.87,360911.95,96652.25,97860.57,44460.04,45662.07,17397.41,17833.82,1760.0,1980.3,3520.0,3336.49,15175.0,14646.42,16341.75,16224.31,11128.33,10975.05,4070.0,4037.36
2024-09-01,Government & Institutions,812639.48,844771.32,785637.56,568847.64,609060.89,96890.62,96001.48,44569.69,44208.22,17440.31,17645.78,1970.0,1886.32,3940.0,4063.75,15200.0,14901.15,16362.0,16595.66,11146.67,11261.27,4080.0,4040.27
2024-10-01,Government & Institutions,1029852.45,913902.53,886369.02,720896.71,629154.38,97129.58,95609.67,44679.61,44523.81,17483.32,17851.15,2120.0,1628.08,4240.0,3831.42,15225.0,14110.34,16382.25,16332.83,11165.0,10990.87,4090.0,4084.19
2024-11-01,Government & Institutions,1119325.91,1181614.48,1178601.85,783528.13,823076.2,97369.13,95361.74,44789.8,43024.06,17526.44,17497.9,2180.0,2167.58,4360.0,4817.44,15250.0,39366.12,16402.5,16178.46,11183.33,11029.68,4100.0,4076.83
2024-12-01,Government & Institutions,950222.55,976759.84,927038.84,665155.79,680702.46,97609.27,98873.28,44900.26,46379.62,17569.67,19446.86,2060.0,2057.19,4120.0,4409.09,15275.0,14010.13,16422.75,16419.77,11201.67,11526.01,4110.0,4109.57
