month,business_unit,line_item,forecast,base_month,base_value,base_was_normalized,growth_factor
2026-08,Corporate Events,Depreciation,14291.61,2025-08,13891.1,False,1.028832
2026-09,Corporate Events,Depreciation,14432.74,2025-09,14028.27,False,1.028832
2026-07,Corporate Events,Freelance,177350.3,2025-07,170525.36,False,1.040023
2026-08,Corporate Events,Freelance,117774.31,2025-08,113242.02,False,1.040023
2026-09,Corporate Events,Freelance,187273.27,2025-09,180066.47,False,1.040023
2026-07,Corporate Events,Opex - Facilities,34624.68,2025-07,34086.04,False,1.015802
2026-08,Corporate Events,Opex - Facilities,35396.27,2025-08,34845.62,False,1.015802
2026-09,Corporate Events,Opex - Facilities,34793.78,2025-09,34252.51,False,1.015802
2026-07,Corporate Events,Opex - G&A,82101.58,2025-07,79510.0,False,1.032594
2026-08,Corporate Events,Opex - G&A,83318.03,2025-08,80688.05,False,1.032594
2026-09,Corporate Events,Opex - G&A,84811.72,2025-09,82134.59,False,1.032594
2026-07,Corporate Events,Opex - IT,10563.88,2025-07,10550.8,False,1.00124
2026-08,Corporate Events,Opex - IT,9022.49,2025-08,9011.32,False,1.00124
2026-09,Corporate Events,Opex - IT,10538.9,2025-09,10525.85,False,1.00124
2026-07,Corporate Events,Opex - Marketing,40869.26,2025-07,40163.81,True,1.017564
2026-08,Corporate Events,Opex - Marketing,37659.63,2025-08,37009.58,True,1.017564
2026-09,Corporate Events,Opex - Marketing,42153.11,2025-09,41425.5,True,1.017564
2026-07,Corporate Events,Opex - Travel,15338.27,2025-07,15197.05,False,1.009293
2026-08,Corporate Events,Opex - Travel,12535.15,2025-08,12419.74,False,1.009293
2026-09,Corporate Events,Opex - Travel,16125.81,2025-09,15977.34,False,1.009293
2026-07,Corporate Events,Payroll,212876.46,2025-07,208550.47,False,1.020743
2026-08,Corporate Events,Payroll,199974.84,2025-08,195911.04,False,1.020743
2026-09,Corporate Events,Payroll,206708.7,2025-09,202508.05,False,1.020743
2026-07,Corporate Events,Revenue,1526356.16,2025-07,1452091.3,False,1.051143
2026-08,Corporate Events,Revenue,1141634.79,2025-08,1086088.55,False,1.051143
2026-09,Corporate Events,Revenue,1809460.92,2025-09,1721421.6,False,1.051143
2026-07,Digital/Influence,COGS,1108991.47,2025-07,1085502.9,False,1.021638
2026-08,Digital/Influence,COGS,881002.17,2025-08,862342.44,False,1.021638
2026-09,Digital/Influence,COGS,1281789.62,2025-09,1254641.17,False,1.021638
2026-07,Digital/Influence,Depreciation,18104.79,2025-07,17543.49,False,1.031995
2026-08,Digital/Influence,Depreciation,18129.39,2025-08,17567.33,False,1.031995
2026-09,Digital/Influence,Depreciation,17997.51,2025-09,17439.54,False,1.031995
2026-07,Digital/Influence,Freelance,196733.73,2025-07,187137.93,False,1.051277
2026-08,Digital/Influence,Freelance,155980.34,2025-08,148372.31,False,1.051277
2026-09,Digital/Influence,Freelance,208202.05,2025-09,198046.88,False,1.051277
2026-07,Digital/Influence,Opex - Facilities,47827.06,2025-07,47449.54,False,1.007956
2026-08,Digital/Influence,Opex - Facilities,47037.97,2025-08,46666.68,False,1.007956
2026-09,Digital/Influence,Opex - Facilities,47617.47,2025-09,47241.6,False,1.007956
2026-07,Digital/Influence,Opex - G&A,102104.12,2025-07,100272.48,False,1.018267
2026-08,Digital/Influence,Opex - G&A,115625.35,2025-08,113551.16,False,1.018267
2026-09,Digital/Influence,Opex - G&A,108598.73,2025-09,106650.59,False,1.018267
2026-07,Digital/Influence,Opex - IT,20927.73,2025-07,21517.17,False,0.972606
2026-08,Digital/Influence,Opex - IT,18070.18,2025-08,18579.13,False,0.972606
2026-09,Digital/Influence,Opex - IT,21289.53,2025-09,21889.16,False,0.972606
2026-07,Digital/Influence,Opex - Marketing,19995.74,2025-07,19835.42,False,1.008083
2026-08,Digital/Influence,Opex - Marketing,15910.79,2025-08,15783.22,False,1.008083
2026-09,Digital/Influence,Opex - Marketing,21646.92,2025-09,21473.36,False,1.008083
2026-07,Digital/Influence,Opex - Travel,11613.46,2025-07,12219.42,False,0.95041
2026-08,Digital/Influence,Opex - Travel,9280.06,2025-08,9764.27,False,0.95041
2026-09,Digital/Influence,Opex - Travel,10373.86,2025-09,10915.14,False,0.95041
2026-07,Digital/Influence,Payroll,343062.01,2025-07,330755.49,False,1.037207
2026-08,Digital/Influence,Payroll,337031.32,2025-08,324941.13,False,1.037207
2026-09,Digital/Influence,Payroll,340298.1,2025-09,328090.73,False,1.037207
2026-07,Digital/Influence,Revenue,1983926.32,2025-07,1897238.42,False,1.045692
2026-08,Digital/Influence,Revenue,1404061.24,2025-08,1342710.61,True,1.045692
2026-09,Digital/Influence,Revenue,2230374.8,2025-09,2132918.3,True,1.045692
2026-07,Government & Institutions,COGS,433884.45,2025-07,411627.29,False,1.054071
2026-08,Government & Institutions,COGS,327362.99,2025-08,310570.11,False,1.054071
2026-09,Government & Institutions,COGS,497880.37,2025-09,472340.38,True,1.054071
2026-07,Government & Institutions,Depreciation,7235.0,2025-07,7002.59,False,1.033188
2026-08,Government & Institutions,Depreciation,7220.51,2025-08,6988.57,False,1.033188
2026-09,Government & Institutions,Depreciation,7315.64,2025-09,7080.64,False,1.033188
2026-07,Government & Institutions,Freelance,94730.35,2025-07,89815.2,False,1.054725
2026-08,Government & Institutions,Freelance,68033.76,2025-08,64503.78,False,1.054725
2026-09,Government & Institutions,Freelance,118441.14,2025-09,112295.74,False,1.054725
2026-07,Government & Institutions,Opex - Facilities,21533.24,2025-07,21193.92,False,1.01601
2026-08,Government & Institutions,Opex - Facilities,21860.8,2025-08,21516.32,False,1.01601
2026-09,Government & Institutions,Opex - Facilities,20998.74,2025-09,20667.85,False,1.01601
2026-07,Government & Institutions,Opex - G&A,44186.69,2025-07,43093.05,False,1.025378
2026-08,Government & Institutions,Opex - G&A,44494.08,2025-08,43392.84,False,1.025378
2026-09,Government & Institutions,Opex - G&A,42844.37,2025-09,41783.96,False,1.025378
2026-07,Government & Institutions,Opex - IT,16982.83,2025-07,16235.32,False,1.046042
2026-08,Government & Institutions,Opex - IT,14530.11,2025-08,13890.56,False,1.046042
2026-09,Government & Institutions,Opex - IT,16476.7,2025-09,15751.47,False,1.046042
2026-07,Government & Institutions,Opex - Marketing,5026.34,2025-07,5371.72,False,0.935704
2026-08,Government & Institutions,Opex - Marketing,3888.11,2025-08,4155.28,False,0.935704
2026-09,Government & Institutions,Opex - Marketing,4613.9,2025-09,4930.94,False,0.935704
2026-07,Government & Institutions,Opex - Travel,6085.83,2025-07,5983.58,False,1.017088
2026-08,Government & Institutions,Opex - Travel,5415.13,2025-08,5324.15,False,1.017088
2026-09,Government & Institutions,Opex - Travel,6822.85,2025-09,6708.22,False,1.017088
2026-07,Government & Institutions,Payroll,117849.94,2025-07,114340.5,False,1.030693
2026-08,Government & Institutions,Payroll,112487.25,2025-08,109137.51,False,1.030693
2026-09,Government & Institutions,Payroll,117532.92,2025-09,114032.92,False,1.030693
2026-07,Government & Institutions,Revenue,762524.39,2025-07,716665.84,False,1.063989
2026-08,Government & Institutions,Revenue,584105.22,2025-08,548976.88,False,1.063989
2026-09,Government & Institutions,Revenue,976962.62,2025-09,918207.66,False,1.063989
